iter	MultiClass
0	1.345235611
1	1.309167538
2	1.275088136
3	1.243393354
4	1.217121354
5	1.189913458
6	1.164223993
7	1.141841722
8	1.120373984
9	1.099228255
10	1.081401609
11	1.065397768
12	1.046673834
13	1.031065268
14	1.01646184
15	1.001777994
16	0.9880025909
17	0.9738422056
18	0.9613163202
19	0.9485996953
20	0.9369347259
21	0.9267579849
22	0.9157631853
23	0.9064200327
24	0.8965441124
25	0.8874059823
26	0.8782135435
27	0.8696581017
28	0.8611109454
29	0.8539782337
30	0.8453807921
31	0.8382651471
32	0.831918738
33	0.8251461895
34	0.8174088266
35	0.8116127276
36	0.80558194
37	0.8002663391
38	0.7930794346
39	0.7881860214
40	0.783110712
41	0.7765746556
42	0.7705615699
43	0.7655703606
44	0.7606275613
45	0.7555737036
46	0.750913771
47	0.7464479208
48	0.7412578293
49	0.7370166381
50	0.7329296326
51	0.728652541
52	0.7253045077
53	0.7209509029
54	0.7163735412
55	0.712661961
56	0.7080539579
57	0.7050944766
58	0.7019750734
59	0.6985202784
60	0.6949247132
61	0.6915433693
62	0.6873403468
63	0.6840545127
64	0.6808697288
65	0.6778585413
66	0.6746259169
67	0.6710059717
68	0.6673558552
69	0.6646017296
70	0.6617529732
71	0.6596500417
72	0.6574147692
73	0.6548518115
74	0.6523884383
75	0.6495921835
76	0.6470252722
77	0.6445196316
78	0.6422919217
79	0.6405151543
80	0.6379523498
81	0.6347314812
82	0.6324610257
83	0.6289221583
84	0.626741252
85	0.6244783083
86	0.6218860798
87	0.6191974621
88	0.6169377454
89	0.6142670412
90	0.6124165904
91	0.6102376194
92	0.6084126866
93	0.6062549123
94	0.6044232019
95	0.6024746189
96	0.6005550782
97	0.5987759834
98	0.5968316654
99	0.5952429233
100	0.5935079021
101	0.5914747223
102	0.5889671435
103	0.5862743212
104	0.5841038786
105	0.5822473514
106	0.5802728796
107	0.578851471
108	0.5773205351
109	0.5753810958
110	0.5735051474
111	0.5715925825
112	0.570449698
113	0.5690352975
114	0.5671885662
115	0.5656182536
116	0.5637149239
117	0.5622891773
118	0.5609471655
119	0.5594775451
120	0.5582827365
121	0.5564516801
122	0.5551561914
123	0.5533782587
124	0.5520102635
125	0.5508131272
126	0.54939537
127	0.5478308521
128	0.5466847131
129	0.5455115145
130	0.5442811197
131	0.543144107
132	0.5419153589
133	0.5404824208
134	0.5393680476
135	0.5379670046
136	0.536431658
137	0.5352824529
138	0.5343271549
139	0.5328320781
140	0.5315591664
141	0.5305712355
142	0.5293850386
143	0.5282757163
144	0.527381178
145	0.5259220628
146	0.5247506417
147	0.5236792373
148	0.5227319263
149	0.5212244926
150	0.5204612124
151	0.5191812035
152	0.5183394904
153	0.5171274117
154	0.5159959644
155	0.5147553659
156	0.5138116843
157	0.5128755932
158	0.511958356
159	0.5108941445
160	0.5098678733
161	0.5088485866
162	0.5076373402
163	0.5067833393
164	0.5059660272
165	0.5049374207
166	0.503906308
167	0.5028308646
168	0.5018355726
169	0.5008561387
170	0.4996840027
171	0.4985234207
172	0.4977970422
173	0.4969665283
174	0.4960770246
175	0.4951135889
176	0.4939966355
177	0.492877797
178	0.491978086
179	0.4906017708
180	0.4898834143
181	0.4889667771
182	0.4879101417
183	0.4869328612
184	0.485616931
185	0.4845036972
186	0.4838543362
187	0.4830022838
188	0.4821079628
189	0.4812380252
190	0.4800561449
191	0.4792898114
192	0.4786525474
193	0.4777588164
194	0.4766734692
195	0.475935555
196	0.4750132019
197	0.4743512182
198	0.4733240166
199	0.4726037007
200	0.4720466167
201	0.4712827228
202	0.4705270779
203	0.4697297387
204	0.4689885137
205	0.4683903168
206	0.4675694448
207	0.4669133416
208	0.4660425664
209	0.4652920388
210	0.4646514742
211	0.4640715393
212	0.4633293107
213	0.462663548
214	0.4615696415
215	0.4609609592
216	0.4602752927
217	0.4595251186
218	0.4589516792
219	0.4581453812
220	0.4571360406
221	0.4562788098
222	0.4556765012
223	0.4548979686
224	0.4540558126
225	0.4533013185
226	0.4524562515
227	0.4516939488
