iter	Passed	Remaining
0	168	67182
1	188	37518
2	205	27241
3	223	22109
4	239	18915
5	254	16733
6	270	15176
7	287	14095
8	303	13166
9	318	12434
10	334	11821
11	349	11290
12	364	10862
13	380	10492
14	396	10170
15	412	9905
16	432	9744
17	453	9620
18	473	9484
19	495	9414
20	512	9257
21	529	9103
22	546	8965
23	566	8878
24	585	8781
25	602	8670
26	618	8550
27	635	8439
28	650	8318
29	666	8216
30	682	8126
31	698	8033
32	714	7949
33	732	7888
34	755	7879
35	776	7856
36	794	7799
37	814	7761
38	830	7683
39	845	7610
40	861	7541
41	876	7473
42	892	7408
43	907	7340
44	922	7278
45	938	7221
46	954	7169
47	969	7113
48	986	7064
49	1002	7017
50	1018	6969
51	1034	6920
52	1050	6875
53	1065	6827
54	1082	6789
55	1097	6744
56	1113	6701
57	1129	6660
58	1144	6614
59	1161	6582
60	1180	6562
61	1198	6533
62	1216	6507
63	1233	6476
64	1252	6456
65	1274	6451
66	1294	6434
67	1313	6410
68	1332	6392
69	1349	6361
70	1365	6325
71	1381	6293
72	1400	6271
73	1420	6257
74	1437	6229
75	1454	6200
76	1471	6174
77	1491	6158
78	1509	6134
79	1526	6107
80	1543	6078
81	1560	6050
82	1576	6020
83	1592	5989
84	1611	5973
85	1628	5944
86	1645	5918
87	1660	5888
88	1676	5857
89	1691	5827
90	1708	5802
91	1725	5777
92	1740	5746
93	1755	5714
94	1772	5689
95	1788	5662
96	1803	5634
97	1818	5602
98	1836	5583
99	1851	5555
100	1867	5527
101	1882	5500
102	1898	5473
103	1919	5462
104	1950	5478
105	1974	5475
106	2001	5480
107	2024	5474
108	2046	5463
109	2068	5453
110	2090	5443
111	2118	5447
112	2153	5468
113	2184	5479
114	2207	5471
115	2224	5446
116	2242	5423
117	2259	5399
118	2275	5372
119	2296	5357
120	2315	5339
121	2336	5323
122	2358	5311
123	2381	5301
124	2400	5281
125	2419	5261
126	2439	5244
127	2456	5220
128	2474	5198
129	2495	5183
130	2517	5170
131	2540	5158
132	2561	5141
133	2580	5121
134	2599	5102
135	2621	5088
136	2639	5067
137	2657	5045
138	2675	5024
139	2695	5005
140	2718	4993
141	2742	4983
142	2763	4965
143	2781	4945
144	2801	4926
145	2817	4901
146	2835	4880
147	2851	4855
148	2866	4829
149	2882	4804
150	2897	4777
151	2913	4752
152	2927	4726
153	2944	4703
154	2962	4683
155	2978	4658
156	2995	4635
157	3011	4612
158	3027	4588
159	3044	4567
160	3063	4548
161	3082	4528
162	3102	4510
163	3118	4487
164	3135	4466
165	3153	4445
166	3170	4423
167	3187	4401
168	3205	4382
169	3221	4358
170	3236	4334
171	3252	4311
172	3268	4288
173	3286	4268
174	3301	4244
175	3317	4222
176	3333	4199
177	3349	4177
178	3363	4152
179	3379	4130
180	3394	4106
181	3409	4084
182	3428	4065
183	3443	4042
184	3460	4021
185	3475	3998
186	3490	3975
187	3505	3953
188	3519	3929
189	3534	3906
190	3550	3885
191	3566	3864
192	3584	3844
193	3599	3822
194	3616	3802
195	3630	3779
196	3645	3756
197	3661	3735
198	3677	3714
199	3692	3692
200	3708	3671
201	3724	3650
202	3738	3628
203	3753	3606
204	3767	3584
205	3781	3561
206	3796	3539
207	3810	3517
208	3825	3496
209	3845	3479
210	3859	3457
211	3874	3435
212	3888	3413
213	3902	3391
214	3916	3370
215	3930	3348
216	3945	3327
217	3961	3306
218	3974	3285
219	3988	3263
220	4003	3242
221	4017	3221
222	4031	3199
223	4046	3179
224	4062	3159
225	4076	3138
226	4091	3118
227	4107	3098
228	4120	3077
229	4133	3055
230	4146	3033
231	4159	3012
232	4172	2990
233	4184	2968
234	4198	2948
235	4212	2927
236	4226	2906
237	4242	2888
238	4256	2867
239	4269	2846
240	4284	2826
241	4297	2806
242	4310	2784
243	4323	2764
244	4336	2743
245	4349	2723
246	4364	2703
247	4377	2682
248	4389	2661
249	4400	2640
250	4414	2620
251	4427	2600
252	4439	2579
253	4452	2559
254	4465	2539
255	4478	2518
256	4492	2499
257	4508	2481
258	4520	2460
259	4532	2440
260	4544	2420
261	4556	2400
262	4568	2379
263	4580	2359
264	4592	2339
265	4606	2320
266	4620	2301
267	4634	2282
268	4654	2266
269	4666	2246
270	4680	2228
271	4695	2209
272	4711	2191
273	4728	2174
274	4745	2156
275	4760	2138
276	4774	2120
277	4787	2100
278	4799	2081
279	4812	2062
280	4825	2043
281	4839	2025
282	4854	2006
283	4872	1989
284	4885	1971
285	4897	1952
286	4909	1932
287	4921	1914
288	4934	1895
289	4947	1876
290	4960	1858
291	4973	1839
292	4984	1820
293	4999	1802
294	5011	1783
295	5024	1765
296	5039	1747
297	5052	1729
298	5065	1711
299	5078	1692
300	5092	1674
301	5104	1656
302	5118	1638
303	5132	1620
304	5144	1602
305	5157	1584
306	5170	1566
307	5182	1548
308	5195	1530
309	5209	1512
310	5221	1494
311	5235	1476
312	5252	1460
313	5267	1442
314	5279	1424
315	5292	1406
316	5305	1389
317	5318	1371
318	5331	1353
319	5343	1335
320	5355	1318
321	5367	1300
322	5379	1282
323	5391	1264
324	5403	1247
325	5416	1229
326	5428	1211
327	5444	1195
328	5459	1178
329	5473	1161
330	5489	1144
331	5501	1126
332	5517	1110
333	5530	1092
334	5543	1075
335	5556	1058
336	5569	1041
337	5583	1024
338	5597	1007
339	5610	990
340	5629	973
341	5646	957
342	5666	941
343	5684	925
344	5699	908
345	5713	891
346	5726	874
347	5740	857
348	5754	840
349	5772	824
350	5787	807
351	5802	791
352	5819	774
353	5835	758
354	5852	741
355	5869	725
356	5884	708
357	5902	692
358	5920	676
359	5934	659
360	5958	643
361	5977	627
362	5991	610
363	6007	594
364	6028	578
365	6048	561
366	6068	545
367	6088	529
368	6109	513
369	6130	497
370	6150	480
371	6173	464
372	6198	448
373	6219	432
374	6239	415
375	6272	400
376	6312	385
377	6365	370
378	6402	354
379	6438	338
380	6467	322
381	6493	305
382	6519	289
383	6541	272
384	6567	255
385	6590	239
386	6616	222
387	6643	205
388	6676	188
389	6719	172
390	6758	155
391	6790	138
392	6825	121
393	6854	104
394	6882	87
395	6906	69
396	6943	52
397	6979	35
398	7006	17
399	7036	0
